mass_A
t	x	y
0.00000	0.71009	0.48051
0.01000	0.70916	0.47954
0.02000	0.70837	0.47838
0.03000	0.70682	0.47591
0.04000	0.70535	0.47361
0.05000	0.70325	0.47071
0.06000	0.70071	0.46751
0.07000	0.69750	0.46329
0.08000	0.69461	0.45964
0.09000	0.69072	0.45549
0.10000	0.68624	0.45062
0.11000	0.68299	0.44326
0.12000	0.67883	0.43678
0.13000	0.67389	0.43005
0.14000	0.66886	0.42239
0.15000	0.66354	0.41487
0.16000	0.65758	0.40627
0.17000	0.65154	0.39757
0.18000	0.64485	0.38812
0.19000	0.63788	0.37815
0.20000	0.63073	0.36778
0.21000	0.62346	0.35695
0.22000	0.61551	0.34549
0.23000	0.60731	0.33355
0.24000	0.59876	0.32156
0.25000	0.58964	0.30892
0.26000	0.58007	0.29604
0.27000	0.56983	0.28239
0.28000	0.55929	0.26899
0.29000	0.54780	0.25513
0.30000	0.53587	0.24122
0.31000	0.52295	0.22723
0.32000	0.50926	0.21323
0.33000	0.49421	0.20065
0.34000	0.47884	0.18516
0.35000	0.46259	0.17199
0.36000	0.44509	0.15906
0.37000	0.42661	0.14684
0.38000	0.40784	0.13463
0.39000	0.38827	0.12279
0.40000	0.36791	0.11186
0.41000	0.34718	0.10119
0.42000	0.32623	0.09058
0.43000	0.30450	0.08120
0.44000	0.27991	0.07028
0.45000	0.25734	0.06326
0.46000	0.23460	0.05539
0.47000	0.21069	0.04722
0.48000	0.18658	0.04006
0.49000	0.16210	0.03333
0.50000	0.13696	0.02782
0.51000	0.11208	0.02302
0.52000	0.08446	0.01956
0.53000	0.06103	0.01475
0.54000	0.03572	0.01254
0.55000	0.01055	0.01137
0.56000	-0.01619	0.01219
0.57000	-0.04250	0.01381
0.58000	-0.06628	0.01699
0.59000	-0.09165	0.02252
0.60000	-0.11703	0.02696
0.61000	-0.14085	0.03238
0.62000	-0.16445	0.03894
0.63000	-0.18758	0.04642
0.64000	-0.21047	0.05493
0.65000	-0.23263	0.06420
0.66000	-0.25403	0.07331
0.67000	-0.27491	0.08359
0.68000	-0.29422	0.09627
0.69000	-0.31419	0.10707
0.70000	-0.33328	0.11864
0.71000	-0.35169	0.13089
0.72000	-0.36968	0.14319
0.73000	-0.38681	0.15597
0.74000	-0.40346	0.16851
0.75000	-0.41916	0.18175
0.76000	-0.43460	0.19459
0.77000	-0.44889	0.20731
0.78000	-0.46230	0.21974
0.79000	-0.47431	0.23229
0.80000	-0.48648	0.24460
0.81000	-0.49787	0.25725
0.82000	-0.50935	0.26804
0.83000	-0.51997	0.27971
0.84000	-0.52994	0.29095
0.85000	-0.53937	0.30230
0.86000	-0.54887	0.31340
0.87000	-0.55743	0.32376
0.88000	-0.56551	0.33391
0.89000	-0.57348	0.34358
0.90000	-0.58073	0.35312
0.91000	-0.58768	0.36214
0.92000	-0.59409	0.37067
0.93000	-0.59989	0.37896
0.94000	-0.60544	0.38690
0.95000	-0.61058	0.39429
0.96000	-0.61559	0.40119
0.97000	-0.62010	0.40778
0.98000	-0.62409	0.41384
0.99000	-0.62761	0.41921
1.00000	-0.63096	0.42439
1.01000	-0.63425	0.42908
1.02000	-0.63688	0.43285
1.03000	-0.63949	0.43644
1.04000	-0.64170	0.43982
1.05000	-0.64391	0.44275
1.06000	-0.64544	0.44511
1.07000	-0.64705	0.44739
1.08000	-0.64808	0.44884
