mass_A
t	x	y
0.00000	0.62898	0.37844
0.01000	0.62897	0.37846
0.02000	0.62895	0.37843
0.03000	0.62851	0.37798
0.04000	0.62782	0.37711
0.05000	0.62678	0.37522
0.06000	0.62551	0.37324
0.07000	0.62369	0.37049
0.08000	0.62173	0.36765
0.09000	0.61942	0.36416
0.10000	0.61638	0.35984
0.11000	0.61321	0.35519
0.12000	0.60970	0.35019
0.13000	0.60590	0.34454
0.14000	0.60169	0.33846
0.15000	0.59697	0.33184
0.16000	0.59211	0.32476
0.17000	0.58695	0.31750
0.18000	0.58141	0.30955
0.19000	0.57553	0.30122
0.20000	0.56894	0.29224
0.21000	0.56208	0.28296
0.22000	0.55493	0.27334
0.23000	0.54694	0.26321
0.24000	0.53883	0.25317
0.25000	0.52998	0.24253
0.26000	0.52055	0.23173
0.27000	0.51016	0.22075
0.28000	0.49971	0.20964
0.29000	0.48818	0.19871
0.30000	0.47538	0.18769
0.31000	0.46353	0.17589
0.32000	0.45024	0.16503
0.33000	0.43513	0.15393
0.34000	0.41987	0.14360
0.35000	0.40462	0.13337
0.36000	0.38837	0.12320
0.37000	0.37108	0.11299
0.38000	0.35367	0.10345
0.39000	0.33651	0.09457
0.40000	0.31863	0.08566
0.41000	0.29899	0.07668
0.42000	0.27853	0.06728
0.43000	0.25923	0.05997
0.44000	0.23895	0.05278
0.45000	0.21857	0.04548
0.46000	0.19780	0.03845
0.47000	0.17696	0.03209
0.48000	0.15532	0.02616
0.49000	0.13311	0.02073
0.50000	0.11189	0.01658
0.51000	0.08951	0.01613
0.52000	0.06711	0.00919
0.53000	0.04509	0.00607
0.54000	0.02281	0.00445
0.55000	0.00070	0.00347
0.56000	-0.02305	0.00378
0.57000	-0.04584	0.00503
0.58000	-0.06864	0.00751
0.59000	-0.09042	0.01003
0.60000	-0.11349	0.01737
0.61000	-0.13515	0.01899
0.62000	-0.15662	0.02416
0.63000	-0.17773	0.03020
0.64000	-0.19863	0.03680
0.65000	-0.21862	0.04400
0.66000	-0.23834	0.05208
0.67000	-0.25725	0.06025
0.68000	-0.27618	0.06876
0.69000	-0.29318	0.07822
0.70000	-0.31053	0.08946
0.71000	-0.32649	0.09806
0.72000	-0.34223	0.10792
0.73000	-0.35774	0.11819
0.74000	-0.37258	0.12882
0.75000	-0.38677	0.13925
0.76000	-0.40047	0.14976
0.77000	-0.41369	0.16007
0.78000	-0.42626	0.17058
0.79000	-0.43839	0.18071
0.80000	-0.44997	0.19100
0.81000	-0.46048	0.20094
0.82000	-0.47095	0.21103
0.83000	-0.48049	0.22045
0.84000	-0.48970	0.23001
0.85000	-0.49842	0.23870
0.86000	-0.50696	0.24814
0.87000	-0.51500	0.25576
0.88000	-0.52193	0.26424
0.89000	-0.52863	0.27190
0.90000	-0.53526	0.27940
0.91000	-0.54176	0.28617
0.92000	-0.54771	0.29254
0.93000	-0.55365	0.29906
0.94000	-0.55904	0.30521
0.95000	-0.56420	0.31079
0.96000	-0.56881	0.31622
0.97000	-0.57314	0.32111
0.98000	-0.57746	0.32578
0.99000	-0.58121	0.33010
1.00000	-0.58453	0.33383
1.01000	-0.58745	0.33717
1.02000	-0.58975	0.33981
1.03000	-0.59192	0.34222
1.04000	-0.59397	0.34432
1.05000	-0.59538	0.34570
